process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
ZZ_llqq,FM4odd,0.012082786061563773,35.078,32.28,31.518,1.132,20.278,22.386,19.509,19.081,19.499
ZZ_llqq,FM5,0.011088276812345779,37.538,27.239,33.649,1.51,19.471,22.064,16.456,19.761,19.756
ZZ_llqq,FM5odd,0.8313927368037185,94.015,2.573,2.667,0.738,24.528,25.19,16.7,17.29,20.304
ZZ_llqq,FM6odd,0.013563484272471348,0.011,48.151,51.755,0.075,20.328,10.041,19.816,20.867,9.245
ZZ_llqq,FM7,0.005821501539549111,61.823,16.709,20.801,0.59,21.609,23.553,17.149,20.857,18.836
ZZ_llqq,FM8,0.0010005264608207052,0.012,47.051,52.861,0.104,19.968,8.605,18.766,21.233,10.506
ZZ_llqq,FM9,0.04236775986712291,13.327,41.385,46.434,0.063,16.886,9.82,18.091,20.447,9.889
ZZ_llqq,FS0,0.00142948671021612,99.568,0.21,0.216,0.006,26.574,26.662,14.917,15.477,10.382
ZZ_llqq,FS1,0.0023735195192992518,99.61,0.184,0.2,0.007,26.316,26.394,14.604,15.859,9.394
ZZ_llqq,FS2,0.00142948671021612,99.568,0.21,0.216,0.006,26.574,26.662,14.917,15.477,10.382
ZZ_llqq,FT0,5.347234225271312,0.001,0.084,0.088,99.827,20.045,16.28,15.757,16.388,20.053
ZZ_llqq,FT1,3.372467267174376,0.001,0.104,0.108,99.788,19.137,16.138,14.404,14.942,19.149
ZZ_llqq,FT2,0.8106368026050584,0.001,0.099,0.102,99.799,19.67,15.273,14.639,15.111,19.683
ZZ_llqq,FT2odd,3.246824215726561,0.0,0.096,0.1,99.803,18.816,13.805,16.057,16.632,18.822
ZZ_llqq,FT3,0.7566511079301859,0.001,0.109,0.111,99.779,19.526,15.14,14.276,14.494,19.541
ZZ_llqq,FT3odd,3.250836699050436,0.0,0.1,0.106,99.793,18.847,16.556,15.649,16.335,18.854
ZZ_llqq,FT4,0.10052411363736127,0.001,0.154,0.157,99.689,17.498,11.62,13.739,13.976,17.512
ZZ_llqq,FT4odd,0.7708581792262812,0.0,0.142,0.148,99.71,17.759,14.21,14.095,14.78,17.771
ZZ_llqq,FT5,0.8592225284989329,0.001,0.106,0.108,99.786,18.479,13.598,15.034,15.238,18.488
ZZ_llqq,FT5odd,52.882188266359904,0.0,0.082,0.084,99.833,19.811,18.153,16.654,16.935,19.817
ZZ_llqq,FT6,0.3550999637546852,0.001,0.162,0.166,99.671,16.75,12.137,13.306,13.595,16.764
ZZ_llqq,FT6odd,38.04324355494521,0.0,0.094,0.096,99.81,19.121,18.611,15.882,16.383,19.127
ZZ_llqq,FT1odd,0.876857242717061,0.0,0.084,0.087,99.828,17.385,14.712,14.766,15.381,17.39
ZZ_vvqq,FM0,0.42737020682694143,93.716,2.548,2.915,0.813,37.583,38.396,25.931,29.68,34.63
ZZ_vvqq,FM1,0.03841116689287866,71.396,12.101,15.733,0.764,34.463,36.168,27.38,33.967,34.037
ZZ_vvqq,FM1odd,0.21181576249787845,91.716,3.573,4.104,0.605,32.547,33.135,25.128,28.376,34.224
ZZ_vvqq,FM2,0.21084861169066726,91.788,3.561,4.039,0.615,33.089,33.758,25.009,28.28,34.29
ZZ_vvqq,FM2odd,0.03252241142126782,73.918,10.702,11.987,3.426,32.333,34.104,26.031,28.895,34.438
ZZ_vvqq,FM3,0.020401885763087324,63.674,15.517,20.301,0.519,31.87,33.213,26.399,32.892,33.328
ZZ_vvqq,FM3odd,0.0019290602976308072,0.017,47.445,52.257,0.272,33.825,18.81,32.369,35.34,24.676
ZZ_vvqq,FM4,0.032533827077329304,72.649,11.225,12.563,3.536,32.209,34.118,25.406,29.139,34.495
ZZ_vvqq,FM4odd,0.023856788997681896,34.062,31.22,33.535,1.206,32.629,34.641,30.746,32.566,33.234
ZZ_vvqq,FM5,0.0217819720267215,35.464,28.502,34.385,1.617,31.474,33.42,27.751,33.021,33.915
ZZ_vvqq,FM5odd,1.6455607185592027,93.689,2.587,2.917,0.802,38.372,39.274,26.231,29.566,34.511
ZZ_vvqq,FM6odd,0.027000082433706815,0.011,47.292,52.542,0.146,33.427,15.18,31.856,35.012,25.865
ZZ_vvqq,FM7,0.011462054191526565,60.094,17.843,21.384,0.644,34.359,36.189,29.143,34.613,32.531
ZZ_vvqq,FM8,0.0020286474518976315,0.019,47.148,52.747,0.088,32.726,23.313,30.555,35.028,14.817
ZZ_vvqq,FM9,0.08403064391612611,9.604,42.914,49.122,0.054,26.759,11.23,29.637,34.356,13.43
ZZ_vvqq,FS0,0.0028312273919907315,99.539,0.205,0.249,0.006,40.082,40.203,22.008,26.869,16.7
ZZ_vvqq,FS1,0.004700969537134585,99.578,0.185,0.231,0.008,39.385,39.488,21.929,27.442,15.234
ZZ_vvqq,FS2,0.0028312273919907315,99.539,0.205,0.249,0.006,40.082,40.203,22.008,26.869,16.7
ZZ_vvqq,FT0,10.590758439544969,0.001,0.077,0.089,99.833,33.353,24.372,23.979,27.613,33.369
ZZ_vvqq,FT1,6.6794881006132645,0.001,0.096,0.111,99.792,31.862,23.297,22.133,25.726,31.884
ZZ_vvqq,FT2,1.6055431088836596,0.001,0.091,0.105,99.804,32.765,22.476,22.328,25.912,32.788
ZZ_vvqq,FT2odd,6.430477150060484,0.0,0.087,0.102,99.81,31.001,21.249,24.045,28.647,31.012
